epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,entropy,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
329,0.6885274618294588,0.5465764331210191,0.5410343450479234,0.5838658146964856,0.5366242038216561,0.5255591054313099,0.5508186900958466,1.6024,3.6875,2.328125,0.44895356899224004,0.43906948465196,0.9824695431547381,0.001,1,128,0.05,2,64,7,10,0.26
183,0.6790682009071302,0.5682722929936306,0.5447284345047924,0.6578474440894568,0.660031847133758,0.5176717252396166,0.577276357827476,1.9045,3.1875,1.875,0.457385625,0.443695,0.9850085747459723,0.000251,4,128,0.05,8,128,5,10,0.3
208,0.6302494653470957,0.6594347133757962,0.6574480830670927,0.9094448881789138,0.6867038216560509,0.62689696485623,0.8353634185303515,2.8843,3.375,3.1875,0.34653343539200004,0.345450106944,0.9094032093696001,0.000251,1,64,0.05,8,256,6,10,0.16
18,0.6894157825002245,0.5571257961783439,0.5619009584664537,0.6118210862619808,0.5553343949044586,0.558805910543131,0.6385782747603834,0.9086,3.1875,1.6875,0.45067921875,0.43253046875,0.9765608517021986,0.001585,3,128,0.05,8,128,6,10,0.3
499,0.5183151043524408,0.7917993630573248,0.7847444089456869,0.9777356230031949,0.7910031847133758,0.7819488817891374,0.9717452076677316,3.095,3.21875,3.21875,0.20811177600000008,0.20811177600000008,0.7172692213214393,0.001,1,64,0.05,2,128,7,10,0.08
102,0.6787329870424453,0.5909633757961783,0.5981429712460063,0.7081669329073482,0.5179140127388535,0.5123801916932907,0.5123801916932907,1.2491,3.125,2.5625,0.39802762834999994,0.39432506968,0.9546748629295863,0.005,2,64,0.05,2,128,6,10,0.22
103,0.44103861443556036,0.852906050955414,0.8617212460063898,1.0,0.852906050955414,0.8617212460063898,1.0,3.2537,3.25,3.25,0.14280567919921866,0.14280567919921866,0.5730553249975427,0.003,4,32,0.05,2,128,6,10,0.05
265,0.6853141913748091,0.5640923566878981,0.5468250798722045,0.6159145367412141,0.5750398089171974,0.5328474440894568,0.6042332268370607,1.7821,3.453125,2.34375,0.45194329598208,0.44356003184000004,0.9838729155325101,0.001585,4,64,0.05,4,256,7,10,0.28
15,0.3653675850694347,0.8905254777070064,0.8888777955271565,1.0,0.8905254777070064,0.8888777955271565,1.0,2.5063,2.5,2.5,0.11360390624999994,0.11360390624999994,0.49914088292358194,0.001585,4,16,0.05,4,32,5,10,0.05
119,0.6616718993065464,0.6186305732484076,0.6183107028753994,0.810702875399361,0.6039012738853503,0.5922523961661342,0.7122603833865815,1.3206,2.0625,1.6875,0.3783834432,0.37222493440000004,0.9390495886572836,0.001585,2,128,0.05,2,128,5,10,0.28
94,0.6451837578017241,0.6311703821656051,0.6318889776357828,0.7450079872204473,0.6279856687898089,0.6129193290734825,0.7443091054313099,1.7016,2.875,1.875,0.375984122712,0.361626247,0.9241450691007405,0.005,2,16,0.05,8,128,6,10,0.22
61,0.6567633417761249,0.628781847133758,0.6288937699680511,0.7578873801916933,0.6238057324840764,0.6219049520766773,0.7295327476038339,1.3711,3.1875,1.6875,0.398495835648,0.38005618476799996,0.9383547454238688,0.003,2,128,0.05,4,32,6,10,0.24
20,0.15898614400511335,1.0,1.0,1.0,1.0,1.0,1.0,3.693,3.6875,3.6875,0.0,0.0,0.0,0.003,4,16,0.05,4,256,7,10,0.0
479,0.5845580850816836,0.7412420382165605,0.7476038338658147,0.959464856230032,0.6658041401273885,0.6615415335463258,0.7735623003194888,2.9554,3.0,3.0,0.23815621874999998,0.23815621874999998,0.7837301099441429,0.003,3,64,0.05,2,256,6,10,0.1
205,0.40881951523434584,0.8513136942675159,0.8526357827476039,1.0,0.8554936305732485,0.8379592651757188,0.9775359424920128,3.3993,3.40625,3.40625,0.14779429790039056,0.14779429790039056,0.5860262873570692,0.000158,3,64,0.05,4,32,7,10,0.05
75,0.5676598070533412,0.7444267515923567,0.7267372204472844,0.9828274760383386,0.7507961783439491,0.7164536741214057,0.9530750798722045,3.66,3.78125,3.78125,0.2732878999999999,0.2732878999999999,0.8141212240173212,0.000398,4,64,0.05,4,128,7,10,0.1
43,0.6782098666877504,0.5881767515923567,0.5896565495207667,0.681908945686901,0.5961385350318471,0.5762779552715654,0.6752196485623003,1.0165,2.875,2.0625,0.3981421824,0.3895145568,0.953289280627529,0.000158,1,128,0.05,2,256,5,10,0.24
175,0.40370134790991524,0.8606687898089171,0.8625199680511182,1.0,0.8473328025477707,0.8432507987220448,0.9649560702875399,3.1378,3.125,3.125,0.136854412109375,0.136854412109375,0.5595480417612899,0.001585,1,128,0.05,8,128,6,10,0.05
120,0.6522578130102461,0.6265923566878981,0.6269968051118211,0.9642571884984026,0.6303742038216561,0.6238019169329073,0.9394968051118211,2.0589,2.25,2.25,0.3685280256,0.3685280256,0.9314173720767585,0.001,1,16,0.05,4,64,5,10,0.24
31,0.46211325676198217,0.8298168789808917,0.8239816293929713,1.0,0.830015923566879,0.8232827476038339,0.9991014376996805,2.5601,2.5625,2.5625,0.17361824000000003,0.17361824000000003,0.6373184212574392,0.000631,2,128,0.05,4,256,5,10,0.08
355,0.6221932960543662,0.6695859872611465,0.6566493610223643,0.799520766773163,0.6542595541401274,0.6391773162939297,0.7496006389776357,1.814,2.9375,2.125,0.338878467,0.33036765349999997,0.8886691693520836,0.003,4,16,0.05,4,256,6,10,0.18
319,0.6266795049427422,0.6626194267515924,0.6429712460063898,0.8377595846645367,0.6753582802547771,0.6316892971246006,0.8322683706070287,2.7051,3.46875,2.96875,0.346798243328,0.34539446214400005,0.9044710503570501,0.000158,4,128,0.05,2,256,7,10,0.16
441,0.6490186680654052,0.6255971337579618,0.6132188498402555,0.8329672523961661,0.6253980891719745,0.6118210862619808,0.8204872204472844,2.481,2.875,2.5,0.382585761712,0.380655960656,0.9369346592452041,0.000158,1,16,0.05,8,64,6,10,0.22
